Census Tract,Geographic Area Name,Population,Deaths,Mortality Rate (Deaths/100000)
"48121021626","Census Tract 216.26, Denton County, Texas",2434,5,205.42317173377157
"48121021645","Census Tract 216.45, Denton County, Texas",2083,5,240.03840614498318
"48121021647","Census Tract 216.47, Denton County, Texas",4670,5,107.06638115631692
"48121021653","Census Tract 216.53, Denton County, Texas",2824,5,177.05382436260624
"48121021655","Census Tract 216.55, Denton County, Texas",2323,5,215.23891519586741
"48121021723","Census Tract 217.23, Denton County, Texas",1476,5,338.75338753387535
"48121021732","Census Tract 217.32, Denton County, Texas",2524,5,198.09825673534073
"48121021734","Census Tract 217.34, Denton County, Texas",3569,5,140.09526478005046
"48121021736","Census Tract 217.36, Denton County, Texas",2527,5,197.86307874950535
"48121021759","Census Tract 217.59, Denton County, Texas",2164,5,231.05360443622922
"48141010101","Census Tract 101.01, El Paso County, Texas",7514,5,66.54245408570668
"48141010102","Census Tract 101.02, El Paso County, Texas",3005,5,166.38935108153078
"48141010103","Census Tract 101.03, El Paso County, Texas",4435,5,112.73957158962796
"48141010602","Census Tract 106.02, El Paso County, Texas",4425,5,112.99435028248588
"48157671502","Census Tract 6715.02, Fort Bend County, Texas",1836,5,272.33115468409585
"48157672201","Census Tract 6722.01, Fort Bend County, Texas",1944,5,257.201646090535
"48157672303","Census Tract 6723.03, Fort Bend County, Texas",3524,5,141.88422247446084
"48157672802","Census Tract 6728.02, Fort Bend County, Texas",2361,5,211.77467174925877
"48157673010","Census Tract 6730.10, Fort Bend County, Texas",4059,5,123.1830500123183
"48167721208","Census Tract 7212.08, Galveston County, Texas",1129,5,442.86979627989376
"48167721402","Census Tract 7214.02, Galveston County, Texas",742,5,673.85444743935318
"48167724500","Census Tract 7245, Galveston County, Texas",1270,5,393.70078740157481
"48181000502","Census Tract 5.02, Grayson County, Texas",1430,5,349.65034965034965
"48183980000","Census Tract 9800, Gregg County, Texas",52,5,9615.3846153846152
"48187210614","Census Tract 2106.14, Guadalupe County, Texas",2810,5,177.9359430604982
"48201222601","Census Tract 2226.01, Harris County, Texas",2322,5,215.33161068044791
"48201240101","Census Tract 2401.01, Harris County, Texas",1991,5,251.13008538422903
"48201240102","Census Tract 2401.02, Harris County, Texas",1835,5,272.47956403269751
"48201240503","Census Tract 2405.03, Harris County, Texas",1922,5,260.14568158168572
"48201240505","Census Tract 2405.05, Harris County, Texas",1483,5,337.15441672285908
"48201240600","Census Tract 2406, Harris County, Texas",2458,5,203.41741253051262
"48201240804","Census Tract 2408.04, Harris County, Texas",3287,5,152.114390021296
"48201251401","Census Tract 2514.01, Harris County, Texas",3011,5,166.05778811026238
"48201311600","Census Tract 3116, Harris County, Texas",3628,5,137.81697905181917
"48201311702","Census Tract 3117.02, Harris County, Texas",1890,5,264.55026455026456
"48201312502","Census Tract 3125.02, Harris County, Texas",2384,5,209.73154362416108
"48201312602","Census Tract 3126.02, Harris County, Texas",2453,5,203.83204239706481
"48201313901","Census Tract 3139.01, Harris County, Texas",2211,5,226.14201718679331
"48201314003","Census Tract 3140.03, Harris County, Texas",2591,5,192.975685063682
"48201314004","Census Tract 3140.04, Harris County, Texas",1668,5,299.76019184652279
"48201314401","Census Tract 3144.01, Harris County, Texas",1545,5,323.62459546925567
"48201322200","Census Tract 3222, Harris County, Texas",1831,5,273.07482250136536
"48201324200","Census Tract 3242, Harris County, Texas",1279,5,390.93041438623925
"48201333204","Census Tract 3332.04, Harris County, Texas",1280,5,390.625
